1	2	3	4	5	6	7	8	9	10	11
2019-09-06	"1,220.59"	"1,178.61"	"1,211.30"	"1,187.90"	"1,213.99"	"1,186.61"	"1,199.60"	-10.10	3.89213	1.0000
2019-09-05	"1,230.86"	"1,188.54"	"1,221.50"	"1,197.90"	"1,224.21"	"1,196.59"	"1,209.70"	-5.50	3.90725	1.0000
2019-09-04	"1,236.46"	"1,193.94"	"1,227.10"	"1,203.30"	"1,229.78"	"1,201.98"	"1,215.20"	3.30	3.91688	1.0000
2019-09-03	"1,233.10"	"1,190.70"	"1,223.70"	"1,200.10"	"1,226.44"	"1,198.78"	"1,211.90"	2.30	3.93188	1.0000
2019-09-02	"1,230.76"	"1,188.44"	"1,221.40"	"1,197.80"	"1,224.11"	"1,196.48"	"1,209.60"	-5.60	3.93900	1.0000
2019-08-30	"1,236.46"	"1,193.94"	"1,227.10"	"1,203.30"	"1,229.78"	"1,201.97"	"1,215.20"	1.70	3.95025	1.0000
2019-08-29	"1,234.73"	"1,192.27"	"1,225.30"	"1,201.70"	"1,228.06"	"1,200.37"	"1,213.50"	0.40	3.96200	1.0000
2019-08-28	"1,234.32"	"1,191.88"	"1,224.90"	"1,201.30"	"1,227.65"	"1,199.97"	"1,213.10"	-5.10	3.96588	1.0000
2019-08-27	"1,239.51"	"1,196.89"	"1,230.10"	"1,206.30"	"1,232.81"	"1,204.96"	"1,218.20"	6.00	3.98950	1.0000
2019-08-26	"1,233.41"	"1,190.99"	"1,224.00"	"1,200.40"	"1,226.74"	"1,199.06"	"1,212.20"	7.10	3.98950	1.0000
2019-08-23	"1,226.18"	"1,184.02"	"1,216.90"	"1,193.30"	"1,219.56"	"1,191.97"	"1,205.10"	1.10	3.99525	1.0000
2019-08-22	"1,225.07"	"1,182.93"	"1,215.70"	"1,192.30"	"1,218.44"	"1,190.96"	"1,204.00"	-6.20	4.01663	1.0000
2019-08-21	"1,231.37"	"1,189.03"	"1,222.00"	"1,198.40"	"1,224.72"	"1,197.05"	"1,210.20"	-0.50	4.02000	1.0000
2019-08-20	"1,231.88"	"1,189.52"	"1,222.50"	"1,198.90"	"1,225.22"	"1,197.55"	"1,210.70"	-2.60	4.01863	1.0000
2019-08-19	"1,234.53"	"1,192.07"	"1,225.10"	"1,201.50"	"1,227.85"	"1,200.15"	"1,213.30"	1.60	4.02213	1.0000
2019-08-16	"1,232.90"	"1,190.50"	"1,223.50"	"1,199.90"	"1,226.24"	"1,198.55"	"1,211.70"	-7.20	4.03200	1.0000
2019-08-14	"1,240.23"	"1,197.57"	"1,230.80"	"1,207.00"	"1,233.52"	"1,205.64"	"1,218.90"	3.30	4.04513	1.0000
2019-08-13	"1,236.87"	"1,194.33"	"1,227.50"	"1,203.70"	"1,230.18"	"1,202.34"	"1,215.60"	5.90	4.04525	1.0000
2019-08-12	"1,230.86"	"1,188.54"	"1,221.50"	"1,197.90"	"1,224.21"	"1,196.55"	"1,209.70"	-1.60	4.04425	1.0000
2019-08-09	"1,232.49"	"1,190.11"	"1,223.10"	"1,199.50"	"1,225.83"	"1,198.14"	"1,211.30"	-3.20	4.05088	1.0000
2019-08-08	"1,235.75"	"1,193.25"	"1,226.40"	"1,202.60"	"1,229.07"	"1,201.24"	"1,214.50"	0.20	4.06125	1.0000
2019-08-07	"1,235.55"	"1,193.05"	"1,226.20"	"1,202.40"	"1,228.87"	"1,201.04"	"1,214.30"	2.50	4.06275	1.0000
2019-08-06	"1,233.00"	"1,190.60"	"1,223.60"	"1,200.00"	"1,226.34"	"1,198.63"	"1,211.80"	17.00	4.07300	1.0000
2019-08-05	"1,215.70"	"1,173.90"	"1,206.50"	"1,183.10"	"1,209.13"	"1,181.75"	"1,194.80"	6.30	4.07850	1.0000
2019-08-02	"1,209.29"	"1,167.71"	"1,200.10"	"1,176.90"	"1,202.76"	"1,175.55"	"1,188.50"	6.60	4.09413	1.0000
2019-08-01	"1,202.58"	"1,161.22"	"1,193.40"	"1,170.40"	"1,196.08"	"1,169.07"	"1,181.90"	-0.10	4.07425	1.0000
2019-07-31	"1,202.68"	"1,161.32"	"1,193.50"	"1,170.50"	"1,196.18"	"1,169.17"	"1,182.00"	-1.40	4.07975	1.0000
2019-07-30	"1,204.10"	"1,162.70"	"1,194.90"	"1,171.90"	"1,197.60"	"1,170.56"	"1,183.40"	-0.80	4.08438	1.0000
2019-07-29	"1,204.92"	"1,163.48"	"1,195.80"	"1,172.60"	"1,198.41"	"1,171.26"	"1,184.20"	4.40	4.08700	1.0000
2019-07-26	"1,200.44"	"1,159.16"	"1,191.30"	"1,168.30"	"1,193.95"	"1,166.97"	"1,179.80"	1.60	4.09113	1.0000
2019-07-25	"1,198.81"	"1,157.59"	"1,189.70"	"1,166.70"	"1,192.33"	"1,165.36"	"1,178.20"	-0.20	4.11175	1.0000
2019-07-24	"1,199.02"	"1,157.78"	"1,189.90"	"1,166.90"	"1,192.54"	"1,165.56"	"1,178.40"	0.80	4.11600	1.0000
2019-07-23	"1,198.20"	"1,157.00"	"1,189.10"	"1,166.10"	"1,191.73"	"1,164.76"	"1,177.60"	4.20	4.11913	1.0000
2019-07-22	"1,193.93"	"1,152.87"	"1,184.80"	"1,162.00"	"1,187.48"	"1,160.67"	"1,173.40"	-6.10	4.11113	1.0000
2019-07-19	"1,200.14"	"1,158.86"	"1,191.00"	"1,168.00"	"1,193.65"	"1,166.66"	"1,179.50"	-0.90	4.12150	1.0000
2019-07-18	"1,201.05"	"1,159.75"	"1,191.90"	"1,168.90"	"1,194.56"	"1,167.55"	"1,180.40"	1.90	4.14788	1.0000
2019-07-17	"1,199.12"	"1,157.88"	"1,190.00"	"1,167.00"	"1,192.64"	"1,165.65"	"1,178.50"	-0.70	4.15038	1.0000
2019-07-16	"1,199.83"	"1,158.57"	"1,190.70"	"1,167.70"	"1,193.35"	"1,166.34"	"1,179.20"	1.90	4.16413	1.0000
2019-07-15	"1,197.90"	"1,156.70"	"1,188.80"	"1,165.80"	"1,191.42"	"1,164.44"	"1,177.30"	3.50	4.18200	1.0000
2019-07-12	"1,194.34"	"1,153.26"	"1,185.30"	"1,162.30"	"1,187.88"	"1,160.94"	"1,173.80"	-7.60	4.17500	1.0000
2019-07-11	"1,202.07"	"1,160.73"	"1,192.90"	"1,169.90"	"1,195.57"	"1,168.52"	"1,181.40"	1.50	4.21913	1.0000
2019-07-10	"1,200.54"	"1,159.26"	"1,191.40"	"1,168.40"	"1,194.05"	"1,167.02"	"1,179.90"	1.40	4.21863	1.0000
2019-07-09	"1,199.12"	"1,157.88"	"1,190.00"	"1,167.00"	"1,192.64"	"1,165.62"	"1,178.50"	8.10	4.22938	1.0000
2019-07-08	"1,190.88"	"1,149.92"	"1,181.80"	"1,159.00"	"1,184.44"	"1,157.63"	"1,170.40"	1.20	4.21650	1.0000
2019-07-05	"1,189.66"	"1,148.74"	"1,180.60"	"1,157.80"	"1,183.23"	"1,156.44"	"1,169.20"	-1.20	4.21413	1.0000
2019-07-04	"1,190.88"	"1,149.92"	"1,181.80"	"1,159.00"	"1,184.44"	"1,157.64"	"1,170.40"	5.60	4.21000	1.0000
2019-07-03	"1,185.18"	"1,144.42"	"1,176.20"	"1,153.40"	"1,178.77"	"1,152.04"	"1,164.80"	9.40	4.22950	1.0000
2019-07-02	"1,175.61"	"1,135.19"	"1,166.70"	"1,144.10"	"1,169.26"	"1,142.75"	"1,155.40"	-1.00	4.23775	1.0000
2019-07-01	"1,176.63"	"1,136.17"	"1,167.70"	"1,145.10"	"1,170.27"	"1,143.74"	"1,156.40"	-0.40	4.24800	1.0000
